,Unnamed: 0,Real Price,Predicted Price
0,2024-05-02,184.72000122070312,177.8842680882959
1,2024-05-03,186.2100067138672,178.5345863824049
4,2024-05-06,188.6999969482422,177.10130894596733
5,2024-05-07,188.75999450683597,176.69959376887604
6,2024-05-08,188.0,179.5463301678232
7,2024-05-09,189.5,179.79290754644964
8,2024-05-10,187.47999572753903,178.14903209603509
11,2024-05-13,186.57000732421875,180.78935700701388
12,2024-05-14,187.07000732421875,183.3379159688681
13,2024-05-15,185.9900054931641,184.14757546860383
14,2024-05-16,183.6300048828125,185.0365651345622
15,2024-05-17,184.6999969482422,184.99344504208355
18,2024-05-20,183.5399932861328,184.76437904643944
19,2024-05-21,183.1499938964844,185.0615042249792
20,2024-05-22,183.1300048828125,184.2005822898421
21,2024-05-23,181.0500030517578,183.81544440525272
22,2024-05-24,180.75,183.7889522487357
26,2024-05-28,182.1499938964844,183.11927127183685
27,2024-05-29,182.0200042724609,182.22700103509484
28,2024-05-30,179.32000732421875,182.46935812540613
29,2024-05-31,176.44000244140625,181.89220274952856
