,Unnamed: 0,Real Price,Predicted Price
0,2024-05-02,173.02999877929688,170.739297088135
1,2024-05-03,183.3800048828125,171.53570357707233
4,2024-05-06,181.7100067138672,172.35667607283426
5,2024-05-07,182.3999938964844,173.02712358794506
6,2024-05-08,182.7400054931641,173.7855467523462
7,2024-05-09,184.57000732421875,174.9094430377074
8,2024-05-10,183.0500030517578,175.59679625528398
11,2024-05-13,186.27999877929688,177.13947548740094
12,2024-05-14,187.42999267578125,179.16550813947688
13,2024-05-15,189.72000122070312,180.8153962773667
14,2024-05-16,189.83999633789065,180.9440776055115
15,2024-05-17,189.8699951171875,181.4709120915196
18,2024-05-20,191.0399932861328,182.0408799836097
19,2024-05-21,192.3500061035156,182.72004846060597
20,2024-05-22,190.8999938964844,183.27121325176603
21,2024-05-23,186.8800048828125,184.1955821787468
22,2024-05-24,189.97999572753903,184.7232357280671
26,2024-05-28,189.9900054931641,185.13426408979495
27,2024-05-29,190.2899932861328,185.21937596376347
28,2024-05-30,191.2899932861328,185.2945765824
29,2024-05-31,192.25,185.3669723511328
