Date,symbol,name,stock_at_date
2023-09-05,BA,Boeing,222.57000732421875
2023-09-06,BA,Boeing,217.9499969482422
2023-09-07,BA,Boeing,216.0500030517578
2023-09-08,BA,Boeing,211.27000427246094
2023-09-11,BA,Boeing,211.00999450683594
2023-09-12,BA,Boeing,210.64999389648438
2023-09-13,BA,Boeing,208.39999389648438
2023-09-14,BA,Boeing,209.0500030517578
2023-09-15,BA,Boeing,208.11000061035156
2023-09-18,BA,Boeing,205.1199951171875
2023-09-19,BA,Boeing,204.47999572753906
2023-09-20,BA,Boeing,202.3699951171875
2023-09-21,BA,Boeing,199.9499969482422
2023-09-22,BA,Boeing,197.7100067138672
2023-09-25,BA,Boeing,198.77999877929688
2023-09-26,BA,Boeing,195.63999938964844
2023-09-27,BA,Boeing,195.4600067138672
2023-09-28,BA,Boeing,190.42999267578125
2023-09-29,BA,Boeing,191.67999267578125
2023-10-02,BA,Boeing,187.8300018310547
2023-10-03,BA,Boeing,188.9199981689453
2023-10-04,BA,Boeing,186.72999572753906
2023-10-05,BA,Boeing,186.2899932861328
2023-10-06,BA,Boeing,187.3800048828125
2023-10-09,BA,Boeing,188.49000549316406
2023-10-10,BA,Boeing,193.52999877929688
2023-10-11,BA,Boeing,196.07000732421875
2023-10-12,BA,Boeing,191.3000030517578
2023-10-13,BA,Boeing,184.91000366210938
2023-10-16,BA,Boeing,184.92999267578125
2023-10-17,BA,Boeing,185.60000610351562
2023-10-18,BA,Boeing,185.69000244140625
2023-10-19,BA,Boeing,182.7899932861328
2023-10-20,BA,Boeing,180.0399932861328
2023-10-23,BA,Boeing,181.02999877929688
2023-10-24,BA,Boeing,182.36000061035156
2023-10-25,BA,Boeing,177.72999572753906
2023-10-26,BA,Boeing,179.08999633789062
2023-10-27,BA,Boeing,179.69000244140625
2023-10-30,BA,Boeing,182.35000610351562
2023-10-31,BA,Boeing,186.82000732421875
2023-11-01,BA,Boeing,189.3800048828125
2023-11-02,BA,Boeing,192.00999450683594
2023-11-03,BA,Boeing,195.0500030517578
2023-11-06,BA,Boeing,192.9499969482422
2023-11-07,BA,Boeing,191.41000366210938
2023-11-08,BA,Boeing,191.8300018310547
2023-11-09,BA,Boeing,193.3300018310547
2023-11-10,BA,Boeing,196.64999389648438
2023-11-13,BA,Boeing,204.5399932861328
2023-11-14,BA,Boeing,207.47000122070312
2023-11-15,BA,Boeing,208.7100067138672
2023-11-16,BA,Boeing,206.60000610351562
2023-11-17,BA,Boeing,208.0399932861328
2023-11-20,BA,Boeing,217.7100067138672
2023-11-21,BA,Boeing,218.27000427246094
2023-11-22,BA,Boeing,219.91000366210938
2023-11-24,BA,Boeing,220.0
2023-11-27,BA,Boeing,219.3000030517578
2023-11-28,BA,Boeing,222.3699951171875
2023-11-29,BA,Boeing,224.42999267578125
2023-11-30,BA,Boeing,231.6300048828125
2023-12-01,BA,Boeing,233.8699951171875
2023-12-04,BA,Boeing,234.8699951171875
2023-12-05,BA,Boeing,234.16000366210938
2023-12-06,BA,Boeing,236.88999938964844
2023-12-07,BA,Boeing,237.3300018310547
2023-12-08,BA,Boeing,244.6999969482422
2023-12-11,BA,Boeing,248.0800018310547
2023-12-12,BA,Boeing,248.6300048828125
2023-12-13,BA,Boeing,250.91000366210938
2023-12-14,BA,Boeing,256.239990234375
2023-12-15,BA,Boeing,264.2699890136719
2023-12-18,BA,Boeing,260.4100036621094
2023-12-19,BA,Boeing,263.510009765625
2023-12-20,BA,Boeing,260.25
2023-12-21,BA,Boeing,262.0199890136719
2023-12-22,BA,Boeing,260.44000244140625
2023-12-26,BA,Boeing,262.7900085449219
2023-12-27,BA,Boeing,262.1000061035156
2023-12-28,BA,Boeing,260.3500061035156
2023-12-29,BA,Boeing,260.6600036621094
2024-01-02,BA,Boeing,251.75999450683594
2024-01-03,BA,Boeing,243.91000366210938
2024-01-04,BA,Boeing,244.94000244140625
2024-01-05,BA,Boeing,249.0
2024-01-08,BA,Boeing,229.0
2024-01-09,BA,Boeing,225.75999450683594
2024-01-10,BA,Boeing,227.83999633789062
2024-01-11,BA,Boeing,222.66000366210938
2024-01-12,BA,Boeing,217.6999969482422
2024-01-16,BA,Boeing,200.52000427246094
2024-01-17,BA,Boeing,203.05999755859375
2024-01-18,BA,Boeing,211.61000061035156
2024-01-19,BA,Boeing,215.02000427246094
2024-01-22,BA,Boeing,214.92999267578125
2024-01-23,BA,Boeing,211.5
2024-01-24,BA,Boeing,214.1300048828125
2024-01-25,BA,Boeing,201.8800048828125
2024-01-26,BA,Boeing,205.47000122070312
2024-01-29,BA,Boeing,205.19000244140625
2024-01-30,BA,Boeing,200.44000244140625
2024-01-31,BA,Boeing,211.0399932861328
2024-02-01,BA,Boeing,209.80999755859375
2024-02-02,BA,Boeing,209.3800048828125
2024-02-05,BA,Boeing,206.6300048828125
2024-02-06,BA,Boeing,208.5800018310547
2024-02-07,BA,Boeing,211.9199981689453
2024-02-08,BA,Boeing,209.22000122070312
2024-02-09,BA,Boeing,209.1999969482422
2024-02-12,BA,Boeing,209.3300018310547
2024-02-13,BA,Boeing,204.4600067138672
2024-02-14,BA,Boeing,203.3800048828125
2024-02-15,BA,Boeing,205.3300018310547
2024-02-16,BA,Boeing,203.88999938964844
2024-02-20,BA,Boeing,203.3699951171875
2024-02-21,BA,Boeing,201.57000732421875
2024-02-22,BA,Boeing,201.5
2024-02-23,BA,Boeing,200.8300018310547
2024-02-26,BA,Boeing,200.5399932861328
2024-02-27,BA,Boeing,201.39999389648438
2024-02-28,BA,Boeing,207.0
2024-02-29,BA,Boeing,203.72000122070312
2024-03-01,BA,Boeing,200.0
2024-03-04,BA,Boeing,200.5399932861328
2024-03-05,BA,Boeing,201.13999938964844
2024-03-06,BA,Boeing,201.0
2024-03-07,BA,Boeing,203.02999877929688
2024-03-08,BA,Boeing,198.49000549316406
2024-03-11,BA,Boeing,192.49000549316406
2024-03-12,BA,Boeing,184.24000549316406
2024-03-13,BA,Boeing,182.35000610351562
2024-03-14,BA,Boeing,181.14999389648438
2024-03-15,BA,Boeing,182.52999877929688
2024-03-18,BA,Boeing,179.83999633789062
2024-03-19,BA,Boeing,181.13999938964844
2024-03-20,BA,Boeing,187.77999877929688
2024-03-21,BA,Boeing,187.6999969482422
2024-03-22,BA,Boeing,188.85000610351562
2024-03-25,BA,Boeing,191.41000366210938
2024-03-26,BA,Boeing,187.5
2024-03-27,BA,Boeing,191.9499969482422
2024-03-28,BA,Boeing,192.99000549316406
2024-04-01,BA,Boeing,189.5
2024-04-02,BA,Boeing,188.0399932861328
2024-04-03,BA,Boeing,184.9199981689453
2024-04-04,BA,Boeing,183.2899932861328
2024-04-05,BA,Boeing,183.13999938964844
2024-04-08,BA,Boeing,181.55999755859375
2024-04-09,BA,Boeing,178.1199951171875
2024-04-10,BA,Boeing,174.6300048828125
2024-04-11,BA,Boeing,173.36000061035156
2024-04-12,BA,Boeing,169.5500030517578
2024-04-15,BA,Boeing,167.7572021484375
