,Unnamed: 0,Real Price,Predicted Price
0,2024-05-02,184.72000122070312,176.56180416891198
1,2024-05-03,186.2100067138672,176.68073189363287
4,2024-05-06,188.6999969482422,176.11375585317143
5,2024-05-07,188.75999450683597,176.35446984456536
6,2024-05-08,188.0,177.61681435013722
7,2024-05-09,189.5,177.76613940482935
8,2024-05-10,187.47999572753903,177.72372269373656
11,2024-05-13,186.57000732421875,178.9279059992746
12,2024-05-14,187.07000732421875,179.65616457798774
13,2024-05-15,185.9900054931641,179.8966928766958
14,2024-05-16,183.6300048828125,180.0800053199526
15,2024-05-17,184.6999969482422,180.0402895933815
18,2024-05-20,183.5399932861328,179.99240901568336
19,2024-05-21,183.1499938964844,179.9769627604499
20,2024-05-22,183.1300048828125,179.75452543098615
21,2024-05-23,181.0500030517578,179.65003109230307
22,2024-05-24,180.75,179.561928353436
26,2024-05-28,182.1499938964844,179.30619013564018
27,2024-05-29,182.0200042724609,179.05465532500622
28,2024-05-30,179.32000732421875,179.07418119227765
29,2024-05-31,176.44000244140625,178.8906774292839
