,Unnamed: 0,Real Price,Predicted Price
0,2024-05-02,173.02999877929688,172.26367408537618
1,2024-05-03,183.3800048828125,173.12853423257243
4,2024-05-06,181.7100067138672,173.9104450686461
5,2024-05-07,182.3999938964844,174.61796845685367
6,2024-05-08,182.7400054931641,175.44969484142706
7,2024-05-09,184.57000732421875,176.59199942741674
8,2024-05-10,183.0500030517578,177.40539411440523
11,2024-05-13,186.27999877929688,178.76829189576213
12,2024-05-14,187.42999267578125,180.2675313096227
13,2024-05-15,189.72000122070312,181.3584293608228
14,2024-05-16,189.83999633789065,181.4649075914106
15,2024-05-17,189.8699951171875,181.83476476348068
18,2024-05-20,191.0399932861328,182.23436159408843
19,2024-05-21,192.3500061035156,182.6847639202208
20,2024-05-22,190.8999938964844,183.05422629198927
21,2024-05-23,186.8800048828125,183.61328119663892
22,2024-05-24,189.97999572753903,183.9374534920213
26,2024-05-28,189.9900054931641,184.16712709432463
27,2024-05-29,190.2899932861328,184.21175131348576
28,2024-05-30,191.2899932861328,184.2307783310048
29,2024-05-31,192.25,184.2302774649505
