Date,symbol,name,stock_at_date
2023-09-05,NVDA,Nvidia,485.4800109863281
2023-09-06,NVDA,Nvidia,470.6099853515625
2023-09-07,NVDA,Nvidia,462.4100036621094
2023-09-08,NVDA,Nvidia,455.7200012207031
2023-09-11,NVDA,Nvidia,451.7799987792969
2023-09-12,NVDA,Nvidia,448.70001220703125
2023-09-13,NVDA,Nvidia,454.8500061035156
2023-09-14,NVDA,Nvidia,455.80999755859375
2023-09-15,NVDA,Nvidia,439.0
2023-09-18,NVDA,Nvidia,439.6600036621094
2023-09-19,NVDA,Nvidia,435.20001220703125
2023-09-20,NVDA,Nvidia,422.3900146484375
2023-09-21,NVDA,Nvidia,410.1700134277344
2023-09-22,NVDA,Nvidia,416.1000061035156
2023-09-25,NVDA,Nvidia,422.2200012207031
2023-09-26,NVDA,Nvidia,419.1099853515625
2023-09-27,NVDA,Nvidia,424.67999267578125
2023-09-28,NVDA,Nvidia,430.8900146484375
2023-09-29,NVDA,Nvidia,434.989990234375
2023-10-02,NVDA,Nvidia,447.82000732421875
2023-10-03,NVDA,Nvidia,435.1700134277344
2023-10-04,NVDA,Nvidia,440.4100036621094
2023-10-05,NVDA,Nvidia,446.8800048828125
2023-10-06,NVDA,Nvidia,457.6199951171875
2023-10-09,NVDA,Nvidia,452.7300109863281
2023-10-10,NVDA,Nvidia,457.9800109863281
2023-10-11,NVDA,Nvidia,468.05999755859375
2023-10-12,NVDA,Nvidia,469.45001220703125
2023-10-13,NVDA,Nvidia,454.6099853515625
2023-10-16,NVDA,Nvidia,460.95001220703125
2023-10-17,NVDA,Nvidia,439.3800048828125
2023-10-18,NVDA,Nvidia,421.9599914550781
2023-10-19,NVDA,Nvidia,421.010009765625
2023-10-20,NVDA,Nvidia,413.8699951171875
2023-10-23,NVDA,Nvidia,429.75
2023-10-24,NVDA,Nvidia,436.6300048828125
2023-10-25,NVDA,Nvidia,417.7900085449219
2023-10-26,NVDA,Nvidia,403.260009765625
2023-10-27,NVDA,Nvidia,405.0
2023-10-30,NVDA,Nvidia,411.6099853515625
2023-10-31,NVDA,Nvidia,407.79998779296875
2023-11-01,NVDA,Nvidia,423.25
2023-11-02,NVDA,Nvidia,435.05999755859375
2023-11-03,NVDA,Nvidia,450.04998779296875
2023-11-06,NVDA,Nvidia,457.510009765625
2023-11-07,NVDA,Nvidia,459.54998779296875
2023-11-08,NVDA,Nvidia,465.739990234375
2023-11-09,NVDA,Nvidia,469.5
2023-11-10,NVDA,Nvidia,483.3500061035156
2023-11-13,NVDA,Nvidia,486.20001220703125
2023-11-14,NVDA,Nvidia,496.55999755859375
2023-11-15,NVDA,Nvidia,488.8800048828125
2023-11-16,NVDA,Nvidia,494.79998779296875
2023-11-17,NVDA,Nvidia,492.9800109863281
2023-11-20,NVDA,Nvidia,504.0899963378906
2023-11-21,NVDA,Nvidia,499.44000244140625
2023-11-22,NVDA,Nvidia,487.1600036621094
2023-11-24,NVDA,Nvidia,477.760009765625
2023-11-27,NVDA,Nvidia,482.4200134277344
2023-11-28,NVDA,Nvidia,478.2099914550781
2023-11-29,NVDA,Nvidia,481.3999938964844
2023-11-30,NVDA,Nvidia,467.70001220703125
2023-12-01,NVDA,Nvidia,467.6499938964844
2023-12-04,NVDA,Nvidia,455.1000061035156
2023-12-05,NVDA,Nvidia,465.6600036621094
2023-12-06,NVDA,Nvidia,455.0299987792969
2023-12-07,NVDA,Nvidia,465.9599914550781
2023-12-08,NVDA,Nvidia,475.05999755859375
2023-12-11,NVDA,Nvidia,466.2699890136719
2023-12-12,NVDA,Nvidia,476.57000732421875
2023-12-13,NVDA,Nvidia,480.8800048828125
2023-12-14,NVDA,Nvidia,483.5
2023-12-15,NVDA,Nvidia,488.8999938964844
2023-12-18,NVDA,Nvidia,500.7699890136719
2023-12-19,NVDA,Nvidia,496.0400085449219
2023-12-20,NVDA,Nvidia,481.1099853515625
2023-12-21,NVDA,Nvidia,489.8999938964844
2023-12-22,NVDA,Nvidia,488.29998779296875
2023-12-26,NVDA,Nvidia,492.7900085449219
2023-12-27,NVDA,Nvidia,494.1700134277344
2023-12-28,NVDA,Nvidia,495.2200012207031
2023-12-29,NVDA,Nvidia,495.2200012207031
2024-01-02,NVDA,Nvidia,481.67999267578125
2024-01-03,NVDA,Nvidia,475.69000244140625
2024-01-04,NVDA,Nvidia,479.9800109863281
2024-01-05,NVDA,Nvidia,490.9700012207031
2024-01-08,NVDA,Nvidia,522.530029296875
2024-01-09,NVDA,Nvidia,531.4000244140625
2024-01-10,NVDA,Nvidia,543.5
2024-01-11,NVDA,Nvidia,548.219970703125
2024-01-12,NVDA,Nvidia,547.0999755859375
2024-01-16,NVDA,Nvidia,563.8200073242188
2024-01-17,NVDA,Nvidia,560.530029296875
2024-01-18,NVDA,Nvidia,571.0700073242188
2024-01-19,NVDA,Nvidia,594.9099731445312
2024-01-22,NVDA,Nvidia,596.5399780273438
2024-01-23,NVDA,Nvidia,598.72998046875
