Date,symbol,name,stock_at_date
2023-09-05,TSLA,Tesla,256.489990234375
2023-09-06,TSLA,Tesla,251.9199981689453
2023-09-07,TSLA,Tesla,251.49000549316406
2023-09-08,TSLA,Tesla,248.5
2023-09-11,TSLA,Tesla,273.5799865722656
2023-09-12,TSLA,Tesla,267.4800109863281
2023-09-13,TSLA,Tesla,271.29998779296875
2023-09-14,TSLA,Tesla,276.0400085449219
2023-09-15,TSLA,Tesla,274.3900146484375
2023-09-18,TSLA,Tesla,265.2799987792969
2023-09-19,TSLA,Tesla,266.5
2023-09-20,TSLA,Tesla,262.5899963378906
2023-09-21,TSLA,Tesla,255.6999969482422
2023-09-22,TSLA,Tesla,244.8800048828125
2023-09-25,TSLA,Tesla,246.99000549316406
2023-09-26,TSLA,Tesla,244.1199951171875
2023-09-27,TSLA,Tesla,240.5
2023-09-28,TSLA,Tesla,246.3800048828125
2023-09-29,TSLA,Tesla,250.22000122070312
2023-10-02,TSLA,Tesla,251.60000610351562
2023-10-03,TSLA,Tesla,246.52999877929688
2023-10-04,TSLA,Tesla,261.1600036621094
2023-10-05,TSLA,Tesla,260.04998779296875
2023-10-06,TSLA,Tesla,260.5299987792969
2023-10-09,TSLA,Tesla,259.6700134277344
2023-10-10,TSLA,Tesla,263.6199951171875
2023-10-11,TSLA,Tesla,262.989990234375
2023-10-12,TSLA,Tesla,258.8699951171875
2023-10-13,TSLA,Tesla,251.1199951171875
2023-10-16,TSLA,Tesla,253.9199981689453
2023-10-17,TSLA,Tesla,254.85000610351562
2023-10-18,TSLA,Tesla,242.67999267578125
2023-10-19,TSLA,Tesla,220.11000061035156
2023-10-20,TSLA,Tesla,211.99000549316406
2023-10-23,TSLA,Tesla,212.0800018310547
2023-10-24,TSLA,Tesla,216.52000427246094
2023-10-25,TSLA,Tesla,212.4199981689453
2023-10-26,TSLA,Tesla,205.75999450683594
2023-10-27,TSLA,Tesla,207.3000030517578
2023-10-30,TSLA,Tesla,197.36000061035156
2023-10-31,TSLA,Tesla,200.83999633789062
2023-11-01,TSLA,Tesla,205.66000366210938
2023-11-02,TSLA,Tesla,218.50999450683594
2023-11-03,TSLA,Tesla,219.9600067138672
2023-11-06,TSLA,Tesla,219.27000427246094
2023-11-07,TSLA,Tesla,222.17999267578125
2023-11-08,TSLA,Tesla,222.11000061035156
2023-11-09,TSLA,Tesla,209.97999572753906
2023-11-10,TSLA,Tesla,214.64999389648438
2023-11-13,TSLA,Tesla,223.7100067138672
2023-11-14,TSLA,Tesla,237.41000366210938
2023-11-15,TSLA,Tesla,242.83999633789062
2023-11-16,TSLA,Tesla,233.58999633789062
2023-11-17,TSLA,Tesla,234.3000030517578
2023-11-20,TSLA,Tesla,235.60000610351562
2023-11-21,TSLA,Tesla,241.1999969482422
2023-11-22,TSLA,Tesla,234.2100067138672
2023-11-24,TSLA,Tesla,235.4499969482422
2023-11-27,TSLA,Tesla,236.0800018310547
2023-11-28,TSLA,Tesla,246.72000122070312
2023-11-29,TSLA,Tesla,244.13999938964844
2023-11-30,TSLA,Tesla,240.0800018310547
2023-12-01,TSLA,Tesla,238.8300018310547
2023-12-04,TSLA,Tesla,235.5800018310547
