,Unnamed: 0,Real Price,Predicted Price
0,2024-05-02,184.72000122070312,174.7179208146659
1,2024-05-03,186.2100067138672,174.9224416134691
4,2024-05-06,188.6999969482422,174.88800406081745
5,2024-05-07,188.75999450683597,175.36750196508248
6,2024-05-08,188.0,176.40258113135806
7,2024-05-09,189.5,176.80894425264708
8,2024-05-10,187.47999572753903,177.13068777969187
11,2024-05-13,186.57000732421875,178.29957822081306
12,2024-05-14,187.07000732421875,179.13594933205815
13,2024-05-15,185.9900054931641,179.42481399960238
14,2024-05-16,183.6300048828125,179.57104980324783
15,2024-05-17,184.6999969482422,179.438977287188
18,2024-05-20,183.5399932861328,179.25110693255084
19,2024-05-21,183.1499938964844,179.09098919387412
20,2024-05-22,183.1300048828125,178.6937756576523
21,2024-05-23,181.0500030517578,178.42663703435448
22,2024-05-24,180.75,178.18631693653666
26,2024-05-28,182.1499938964844,177.81347415857206
27,2024-05-29,182.0200042724609,177.48857385586757
28,2024-05-30,179.32000732421875,177.38054010205084
29,2024-05-31,176.44000244140625,177.058987894743
